record_id,date,district,temperature,humidity,air_quality_index,special_event
ENV000001,2023-01-01,Dubai Marina,24,65,42,New Year's Day
ENV000002,2023-01-15,Deira,22,70,45,None
ENV000003,2023-02-01,Al Barsha,23,68,50,None
ENV000004,2023-02-15,Jumeirah,25,62,48,None
ENV000005,2023-03-01,Business Bay,27,60,52,None
ENV000006,2023-03-15,Downtown Dubai,29,55,55,None
ENV000007,2023-04-01,Palm Jumeirah,31,50,60,None
ENV000008,2023-04-15,Al Qusais,33,45,65,None
ENV000009,2023-05-01,Mirdif,35,40,70,None
ENV000010,2023-05-15,Dubai Marina,37,35,75,None
ENV000011,2023-06-01,Deira,39,30,80,None
ENV000012,2023-06-15,Al Barsha,41,25,85,None
ENV000013,2023-07-01,Jumeirah,43,20,90,None
ENV000014,2023-07-15,Business Bay,44,18,95,None
ENV000015,2023-08-01,Downtown Dubai,43,20,90,None
ENV000016,2023-08-15,Palm Jumeirah,42,22,85,None
ENV000017,2023-09-01,Al Qusais,40,25,80,None
ENV000018,2023-09-15,Mirdif,38,30,75,None
ENV000019,2023-10-01,Dubai Marina,35,35,70,None
ENV000020,2023-10-15,Deira,32,40,65,None
ENV000021,2023-11-01,Al Barsha,29,45,60,None
ENV000022,2023-11-15,Jumeirah,26,50,55,None
ENV000023,2023-12-01,Business Bay,24,55,50,National Day
ENV000024,2023-12-15,Downtown Dubai,22,60,45,None
