mention_id,post_date,district,symptoms_mentioned,sentiment_score
SM000001,2023-01-08,Dubai Marina,"Feeling tired all the time, so thirsty",-0.6
SM000002,2023-01-09,Jumeirah,Everyone in my office has a cold,-0.4
SM000003,2023-01-11,Deira,"Headache won't go away, might be my blood pressure",-0.7
SM000004,2023-01-13,Al Barsha,My back is killing me after moving,-0.8
SM000005,2023-01-16,Business Bay,Chest pain when I exercise lately,-0.9
SM000006,2023-01-17,Downtown Dubai,"Can't sleep, feeling anxious",-0.7
SM000007,2023-01-19,Palm Jumeirah,My kid has a fever and pulling at his ear,-0.6
SM000008,2023-01-21,Al Qusais,Stomach pain after every meal,-0.5
SM000009,2023-01-24,Mirdif,Knees hurting when climbing stairs,-0.4
SM000010,2023-01-27,Dubai Marina,Sore throat and can't swallow,-0.8
SM000011,2023-01-27,Deira,"Had stomach bug",-0.8
SM000012,2023-01-27,Deira,"My leg is swollen",-0.7
SM000013,2023-01-27,Deira,"I have a headache and my neck is stiff",-0.6
